"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","60.0000","202312","31","162,500","306","8","-","-","1992","개포로109길 21","-","중개거래","서울 강남구","24.01.22"
"2","서울특별시 강남구 역삼동","757","0757","0000","역삼래미안","59.5300","202312","31","182,000","104","17","-","-","2005","선릉로69길 19","-","중개거래","서울 강남구","24.03.22"
"3","서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","84.9800","202312","30","323,000","106","18","-","-","2015","삼성로51길 37","-","중개거래","서울 강남구","24.02.29"
"4","서울특별시 강남구 청담동","60","0060","0000","삼성청담공원아파트","107.2200","202312","30","210,000","-","11","-","-","1999","도산대로96길 39","20240223","중개거래","서울 강남구","-"
"5","서울특별시 강남구 청담동","60","0060","0000","삼성청담공원아파트","107.2200","202312","30","210,000","105","11","-","-","1999","도산대로96길 39","-","중개거래","서울 강남구","24.03.18"
"6","서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.8900","202312","30","25,700","-","12","-","-","2004","강남대로 256","-","중개거래","서울 강남구","24.02.05"
"7","서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","84.9097","202312","29","238,000","104","13","-","-","2006","언주로 332","-","중개거래","서울 강남구","24.02.14"
"8","서울특별시 강남구 대치동","1016-2","1016","0002","삼성3차","84.7800","202312","29","160,000","302","8","-","-","2000","도곡로78길 13","-","중개거래","서울 강남구","24.02.26"
"9","서울특별시 강남구 청담동","69-18","0069","0018","동양파라곤","171.1005","202312","29","545,000","102","10","-","-","2006","학동로97길 31","-","중개거래","서울 강남구","24.06.26"
"10","서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.2900","202312","28","36,500","-","10","-","-","2004","학동로 165","-","직거래","-","24.01.10"
"11","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","59.9300","202312","28","95,000","504","6","-","-","2015","자곡로3길 21","-","중개거래","서울 강남구","24.10.11"
"12","서울특별시 강남구 삼성동","98-11","0098","0011","삼부아그레빌","97.6710","202312","28","190,000","-","12","-","-","2003","영동대로114길 63","-","중개거래","서울 강남구","24.03.29"
"13","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","84.3900","202312","28","129,000","501","13","-","-","2015","자곡로3길 21","-","중개거래","서울 강남구","26.03.11"
"14","서울특별시 강남구 수서동","746","0746","0000","까치마을","39.6000","202312","27","92,500","1002","3","-","-","1993","광평로19길 10","-","중개거래","서울 강남구","24.03.29"
"15","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","59.9300","202312","27","95,000","503","4","-","-","2015","자곡로3길 21","-","중개거래","서울 강남구","24.12.27"
"16","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.5300","202312","27","114,000","212","12","-","-","1992","개포로109길 9","-","중개거래","서울 강남구","24.01.19"
"17","서울특별시 강남구 대치동","1030","1030","0000","대치르엘","84.8067","202312","26","265,000","106","14","-","-","2021","도곡로93길 23","-","중개거래","서울 강남구","24.02.16"
"18","서울특별시 강남구 도곡동","467-19","0467","0019","현대비젼21","32.6500","202312","26","41,000","-","12","-","-","1999","언주로30길 10","-","중개거래","서울 강남구","24.02.19"
"19","서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","146.7540","202312","26","239,000","에이","24","-","-","1999","언주로30길 13","-","중개거래","경기 고양시덕양구, 서울 강남구","24.03.29"
"20","서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","124.1000","202312","26","238,000","110","12","-","-","1995","논현로 213","-","중개거래","서울 강남구","24.03.29"
"21","서울특별시 강남구 청담동","116-10","0116","0010","상지리츠빌9차","200.8800","202312","26","440,000","9차","4","-","-","2004","압구정로77길 27","-","중개거래","서울 강남구","24.03.18"
"22","서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","146.7540","202312","26","239,000","-","24","-","-","1999","언주로30길 13","20240117","중개거래","서울 강남구","-"
"23","서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","74.7400","202312","25","140,000","209","3","-","-","2012","자곡로 21","-","중개거래","서울 강남구","24.03.15"
"24","서울특별시 강남구 역삼동","763-16","0763","0016","래미안그레이튼","70.9800","202312","23","204,500","206","3","-","-","2009","도곡로43길 20","-","중개거래","서울 강남구","24.02.27"
"25","서울특별시 강남구 압구정동","433","0433","0000","신현대11차","108.3600","202312","23","390,000","110","8","-","-","1983","압구정로 151","-","중개거래","서울 강남구, 서울 송파구","24.04.15"
"26","서울특별시 강남구 도곡동","465","0465","0000","우성4","126.4600","202312","22","320,000","7","8","-","-","1985","언주로 117","-","중개거래","서울 강남구","24.02.29"
"27","서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","84.5030","202312","22","255,000","1단지 102","3","-","-","2008","학동로68길 29","-","중개거래","서울 강남구","24.02.21"
"28","서울특별시 강남구 논현동","196","0196","0000","거평프리젠","42.3950","202312","22","50,000","-","5","-","-","1996","강남대로112길 41","-","중개거래","서울 강남구","23.12.22"
"29","서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","185.6220","202312","22","550,000","-","68","-","-","2004","언주로30길 26","20240730","중개거래","서울 강남구","-"
"30","서울특별시 강남구 청담동","42","0042","0000","삼성청담아파트","114.8300","202312","22","222,000","101","8","-","-","1999","학동로 405","-","중개거래","서울 강남구, 서울 서초구","24.04.15"
"31","서울특별시 강남구 대치동","1014-3","1014","0003","대치삼성","97.3500","202312","22","271,000","109","17","-","-","2000","도곡로78길 22","-","중개거래","서울 강남구, 서울 금천구","24.02.29"
"32","서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","114.4630","202312","21","380,000","1단지 110","9","-","-","2008","학동로68길 29","-","중개거래","서울 강남구","24.06.11"
"33","서울특별시 강남구 역삼동","727-2","0727","0002","대명벨리온","17.6840","202312","21","17,000","-","3","-","-","2012","역삼로25길 27","20231228","직거래","-","-"
"34","서울특별시 강남구 수서동","746","0746","0000","까치마을","39.6000","202312","21","89,000","1003","11","-","-","1993","광평로19길 10","-","중개거래","서울 강남구","24.02.29"
"35","서울특별시 강남구 논현동","106","0106","0000","펜트힐캐스케이드","48.0300","202312","21","148,400","-","12","-","-","2023","언주로 720","-","직거래","-","23.12.27"
"36","서울특별시 강남구 일원동","743","0743","0000","디에이치자이개포","84.9400","202312","21","290,000","812동","26","-","-","2021","영동대로 22","-","중개거래","서울 강남구","24.08.06"
"37","서울특별시 강남구 대치동","1014-3","1014","0003","대치삼성","97.3500","202312","21","260,000","103","15","-","-","2000","도곡로78길 22","-","중개거래","서울 강남구","24.03.06"
"38","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.8600","202312","20","126,000","217","2","-","-","1992","개포로109길 9","-","중개거래","서울 강남구","24.03.29"
"39","서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.6100","202312","20","345,000","1","1","-","-","1983","선릉로 120","-","중개거래","서울 강남구","24.02.20"
"40","서울특별시 강남구 신사동","659","0659","0000","압구정대원칸타빌아파트","97.0800","202312","20","179,000","101","14","-","-","2001","압구정로48길 15","-","중개거래","서울 강남구","24.03.08"
"41","서울특별시 강남구 도곡동","467-19","0467","0019","현대비젼21","34.9950","202312","20","44,800","-","18","-","-","1999","언주로30길 10","-","중개거래","서울 강남구","24.02.14"
"42","서울특별시 강남구 수서동","712","0712","0000","수서한아름","129.4500","202312","19","200,000","106","11","-","-","1993","광평로51길 22","-","중개거래","서울 강남구","24.02.29"
"43","서울특별시 강남구 압구정동","462","0462","0000","현대4차저층(51~56동)","117.9100","202312","18","535,000","-","3","-","-","1977","압구정로33길 70","20240306","중개거래","서울 강남구","-"
