"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202412","31","110,000","135","4","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","25.03.17"
"2","서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.8200","202412","31","138,500","205","18","개인","개인","2001","금호로 100","-","중개거래","서울 성동구","25.03.20"
"3","서울특별시 성동구 금호동4가","235","0235","0000","서울숲2차푸르지오","114.7710","202412","31","207,000","202","3","개인","개인","2012","금호로 17","-","중개거래","서울 성동구","25.03.24"
"4","서울특별시 성동구 금호동4가","235","0235","0000","서울숲2차푸르지오","114.7710","202412","31","207,000","-","3","개인","개인","2012","금호로 17","20250122","중개거래","서울 성동구","-"
"5","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202412","30","107,000","103","17","개인","개인","2004","난계로 84","-","중개거래","서울 성동구","25.03.11"
"6","서울특별시 성동구 성수동2가","833","0833","0000","신성미소지움","84.0100","202412","30","140,000","101","14","개인","개인","2001","뚝섬로13길 11","-","중개거래","서울 성동구","25.02.20"
"7","서울특별시 성동구 성수동2가","609-2","0609","0002","강변임광","84.7700","202412","30","245,500","101","7","개인","개인","2000","둘레19길 5","-","중개거래","서울 성동구","25.03.20"
"8","서울특별시 성동구 성수동1가","708","0708","0000","동아그린","58.3200","202412","30","102,000","101","13","개인","개인","1999","상원길 76","-","중개거래","서울 성동구","25.02.27"
"9","서울특별시 성동구 금호동3가","1331","1331","0000","두산","79.0800","202412","30","119,000","106","14","개인","개인","1994","동호로 100","-","중개거래","서울 성동구","25.04.29"
"10","서울특별시 성동구 금호동4가","1553","1553","0000","힐스테이트서울숲리버","84.9200","202412","28","175,500","112","11","개인","개인","2018","독서당로 344","-","중개거래","서울 성동구","25.04.17"
"11","서울특별시 성동구 금호동1가","633","0633","0000","벽산","114.5700","202412","28","133,000","107","17","개인","개인","2001","금호로 100","-","중개거래","서울 성동구","25.03.11"
"12","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.9600","202412","28","137,000","-","10","개인","개인","2001","독서당로 272","20250124","중개거래","서울 성동구","-"
"13","서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9000","202412","28","95,000","305","5","개인","개인","2001","금호로 100","-","중개거래","서울 성동구","25.03.28"
"14","서울특별시 성동구 행당동","349","0349","0000","서울숲 한신 더 휴","59.9400","202412","28","111,000","103","10","개인","개인","2003","고산자로 164","-","중개거래","서울 성동구","25.04.22"
"15","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.9600","202412","28","137,000","109","10","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","25.02.14"
"16","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202412","28","112,700","109","24","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","25.04.11"
"17","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9600","202412","28","167,000","109","3","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","25.02.24"
"18","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202412","28","162,000","107","10","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","25.02.28"
"19","서울특별시 성동구 옥수동","428","0428","0000","극동","148.2300","202412","28","175,500","2","7","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","25.09.26"
"20","서울특별시 성동구 성수동2가","833","0833","0000","신성미소지움","59.4000","202412","28","105,000","101","6","개인","개인","2001","뚝섬로13길 11","-","중개거래","서울 성동구","25.06.02"
"21","서울특별시 성동구 송정동","67-5","0067","0005","히페리온리버팰리스","84.4845","202412","27","85,000","-","5","개인","개인","2022","송정길 32","-","직거래","-","25.03.05"
"22","서울특별시 성동구 금호동2가","1215","1215","0000","금호자이1차","84.9700","202412","27","148,000","103","4","개인","개인","2012","금호로 117","-","중개거래","서울 성동구","25.04.04"
"23","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","84.3000","202412","27","191,000","120","16","개인","개인","2016","매봉길 50","-","중개거래","서울 노원구, 서울 성동구","25.02.24"
"24","서울특별시 성동구 옥수동","428","0428","0000","극동","68.5800","202412","27","118,000","7","9","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","25.03.07"
"25","서울특별시 성동구 사근동","315","0315","0000","한양마이라움","18.3600","202412","27","17,000","-","6","개인","개인","2018","살곶이길 146","-","중개거래","서울 성동구","25.02.20"
"26","서울특별시 성동구 마장동","818","0818","0000","현대","164.8600","202412","27","148,000","108","10","개인","개인","1998","살곶이길 50","-","중개거래","서울 성동구","25.03.18"
"27","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","84.7400","202412","26","135,000","-","4","개인","개인","2011","고산자로 177","20250418","중개거래","서울 성동구","-"
"28","서울특별시 성동구 성수동2가","712","0712","0000","청구강변1","84.8700","202412","26","232,500","101","18","개인","개인","1994","둘레15길 7","-","중개거래","서울 성동구, 서울 용산구","25.03.28"
"29","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","84.7400","202412","26","135,000","106","4","개인","개인","2011","고산자로 177","-","중개거래","서울 성동구","25.05.20"
"30","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","114.3300","202412","26","165,000","105","11","개인","개인","2011","고산자로 177","-","중개거래","서울 성동구","25.03.31"
"31","서울특별시 성동구 금호동3가","1331","1331","0000","두산","116.8100","202412","25","130,000","104","1","개인","개인","1994","동호로 100","-","중개거래","서울 성동구","25.02.28"
"32","서울특별시 성동구 성수동1가","709","0709","0000","대우2","84.9700","202412","24","141,000","105","9","개인","개인","1999","상원6길 16","-","중개거래","서울 성동구","25.02.28"
"33","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","40.9400","202412","24","93,700","130","28","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구, 서울 중구","25.02.14"
"34","서울특별시 성동구 상왕십리동","12-47","0012","0047","센트럴큐브","19.4200","202412","24","24,000","-","18","개인","개인","2019","난계로24길 19","-","직거래","-","24.12.26"
"35","서울특별시 성동구 하왕십리동","966-19","0966","0019","왕십리지음재","13.7200","202412","23","17,000","왕십리 지음재","5","개인","개인","2020","무학봉28길 3-1","-","중개거래","서울 성동구","24.12.31"
"36","서울특별시 성동구 응봉동","100","0100","0000","대림(1차)","75.5100","202412","23","133,500","10","6","개인","개인","1986","독서당로62길 43","-","중개거래","서울 성동구","25.01.22"
"37","서울특별시 성동구 금호동3가","700","0700","0000","금호자이2차","84.7313","202412","23","141,000","103","16","개인","개인","2012","금호산8길 14","-","중개거래","서울 성동구","25.03.24"
"38","서울특별시 성동구 행당동","349","0349","0000","서울숲 한신 더 휴","84.9500","202412","23","141,000","114","19","개인","개인","2003","고산자로 164","-","중개거래","서울 성동구","25.03.13"
"39","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202412","23","112,000","112","19","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","25.01.10"
"40","서울특별시 성동구 마장동","819","0819","0000","마장동중앙하이츠","60.0000","202412","23","86,000","101","12","개인","개인","1999","마장로 262","-","중개거래","서울 성동구","25.03.19"
"41","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","59.6800","202412","22","118,000","107","7","개인","개인","2011","고산자로 177","-","중개거래","서울 성동구","25.02.20"
"42","서울특별시 성동구 금호동3가","1662","1662","0000","금호한신","59.9900","202412","22","95,000","103","11","개인","개인","2005","금호산길 27","-","중개거래","서울 성동구","25.03.05"
"43","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","84.7400","202412","21","133,000","101","1","개인","개인","2011","고산자로 177","-","중개거래","서울 성동구","25.02.21"
"44","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","59.9600","202412","21","108,000","103","12","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","25.03.21"
"45","서울특별시 성동구 응봉동","275","0275","0000","신동아","59.9700","202412","21","81,000","1","11","개인","개인","1996","독서당로 375","-","중개거래","서울 성동구","25.03.28"
"46","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","59.7600","202412","21","111,000","101","15","개인","개인","2001","고산자로 160","-","중개거래","서울 성동구","25.03.10"
"47","서울특별시 성동구 성수동1가","718","0718","0000","트리마제","84.8111","202412","21","360,000","103","32","개인","개인","2017","왕십리로 16","-","중개거래","서울 성동구, 서울 용산구","25.05.09"
"48","서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9000","202412","21","93,000","203","7","개인","개인","2001","금호로 100","-","중개거래","서울 서초구, 서울 성동구","25.02.28"
"49","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202412","21","157,000","102","20","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","25.02.13"
"50","서울특별시 성동구 응봉동","275","0275","0000","신동아","59.9700","202412","21","81,000","1","10","개인","개인","1996","독서당로 375","-","중개거래","서울 성동구","25.04.23"
"51","서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.9900","202412","21","139,500","101","19","개인","개인","2012","금호로 107","-","중개거래","서울 성동구","25.02.21"
"52","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.9300","202412","21","149,000","130","11","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","25.03.06"
"53","서울특별시 성동구 성수동1가","706","0706","0000","쌍용","59.7600","202412","20","120,000","106","5","개인","개인","1997","상원길 63","-","중개거래","경기 하남시, 서울 성동구","25.02.06"
"54","서울특별시 성동구 성수동1가","706","0706","0000","쌍용","59.7600","202412","20","120,000","-","5","개인","개인","1997","상원길 63","20250109","중개거래","경기 하남시, 서울 성동구","-"
"55","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202412","20","134,000","101","10","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","25.04.04"
"56","서울특별시 성동구 금호동1가","633","0633","0000","벽산","84.8200","202412","20","138,500","-","18","개인","개인","2001","금호로 100","20250121","중개거래","서울 성동구","-"
"57","서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9000","202412","19","105,000","-","19","개인","개인","2001","금호로 100","20250219","중개거래","서울 성동구","-"
"58","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","114.4600","202412","19","114,000","-","15","개인","개인","1996","무학로 50","20250106","중개거래","서울 강남구","-"
"59","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","72.5200","202412","19","162,000","111","3","개인","개인","2015","무학로 33","-","중개거래","서울 성동구","25.03.24"
"60","서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9000","202412","19","105,000","203","19","개인","개인","2001","금호로 100","-","중개거래","서울 성동구","25.04.04"
"61","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202412","19","110,000","133","4","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","25.02.19"
"62","서울특별시 성동구 행당동","380","0380","0000","서울숲리버뷰자이","59.9700","202412","19","128,000","106","19","개인","개인","2018","고산자로2길 65","-","직거래","-","25.01.14"
"63","서울특별시 성동구 행당동","376","0376","0000","서울숲행당푸르지오","59.6800","202412","19","110,500","108","3","개인","개인","2011","고산자로 177","-","중개거래","서울 성동구","25.02.25"
"64","서울특별시 성동구 금호동4가","800","0800","0000","대우","84.7100","202412","18","133,500","105","14","개인","개인","2001","독서당로 272","-","중개거래","서울 성동구","25.03.28"
"65","서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.9900","202412","18","145,000","-","17","개인","개인","2012","금호로 107","20250305","중개거래","서울 성동구","-"
"66","서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.9900","202412","18","145,000","109","17","개인","개인","2012","금호로 107","-","중개거래","서울 성동구","25.07.04"
"67","서울특별시 성동구 성수동1가","479-1","0479","0001","강변동양","84.5600","202412","18","290,000","-","12","개인","개인","2001","둘레길 21","20250305","중개거래","서울 서대문구, 서울 성동구","-"
"68","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.7700","202412","18","191,000","129","27","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","25.03.10"
"69","서울특별시 성동구 성수동1가","479-1","0479","0001","강변동양","84.5600","202412","18","290,000","101","12","개인","개인","2001","둘레길 21","-","중개거래","서울 서대문구","25.03.14"
"70","서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","59.9800","202412","17","145,000","107","4","개인","개인","2016","금호로 173","-","중개거래","서울 성동구","25.02.28"
"71","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.9100","202412","17","165,000","104","1","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","25.02.06"
"72","서울특별시 성동구 응봉동","100","0100","0000","대림(1차)","63.1800","202412","17","102,000","11","1","개인","개인","1986","독서당로62길 43","-","중개거래","서울 성동구","25.02.25"
"73","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.9100","202412","17","165,000","-","1","개인","개인","2016","매봉길 50","20250203","중개거래","서울 성동구","-"
"74","서울특별시 성동구 마장동","818","0818","0000","현대","59.9400","202412","17","87,900","102","3","개인","개인","1998","살곶이길 50","-","중개거래","서울 성동구","25.02.25"
"75","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202412","16","160,000","105","17","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","25.03.28"
