"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","59.7600","202312","30","80,000","105","10","-","-","1996","마장로 271","-","중개거래","서울 성동구","24.01.19"
"2","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","84.9300","202312","30","100,000","104","15","-","-","1996","마장로 271","-","중개거래","서울 성동구","24.01.23"
"3","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","71.3300","202312","30","89,000","108","8","-","-","1996","무학로 50","-","중개거래","서울 성동구","24.03.15"
"4","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202312","30","92,000","104","17","-","-","2004","난계로 84","-","중개거래","서울 성동구","24.02.22"
"5","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","114.6200","202312","30","142,000","121","18","-","-","2000","행당로 82","-","중개거래","서울 강남구, 서울 성동구","24.03.15"
"6","서울특별시 성동구 성수동1가","710","0710","0000","강변건영아파트","84.9520","202312","30","197,000","103","16","-","-","2002","왕십리로 36","-","중개거래","경기 하남시, 서울 성동구","24.03.29"
"7","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","84.9300","202312","30","100,000","-","15","-","-","1996","마장로 271","20240122","중개거래","서울 성동구","-"
"8","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","84.8800","202312","29","149,000","114","9","-","-","2015","무학로 33","-","중개거래","서울 서대문구 서울 성동구","24.01.31"
"9","서울특별시 성동구 마장동","818","0818","0000","현대","59.9400","202312","29","82,500","103","20","-","-","1998","살곶이길 50","-","중개거래","서울 성동구","24.03.28"
"10","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","89.1900","202312","29","180,000","7","11","-","-","1982","독서당로 156","-","중개거래","서울 성동구","24.03.22"
"11","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","84.4200","202312","29","120,000","109","5","-","-","2001","고산자로 160","-","중개거래","서울 성동구","24.02.05"
"12","서울특별시 성동구 금호동4가","1553","1553","0000","힐스테이트서울숲리버","59.9800","202312","29","133,000","102","5","-","-","2018","독서당로 344","-","중개거래","서울 성동구","24.02.01"
"13","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","148.8000","202312","28","186,000","111","4","-","-","2015","무학로 33","-","중개거래","서울 성동구","24.01.10"
"14","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","84.9600","202312","28","144,500","105","19","-","-","2015","무학로 33","-","중개거래","서울 강서구, 서울 성동구","24.03.11"
"15","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.8400","202312","28","140,800","106","5","-","-","2012","매봉길 15","-","중개거래","서울 성동구","24.03.22"
"16","서울특별시 성동구 금호동4가","1507","1507","0000","브라운스톤금호","84.8380","202312","28","129,000","105","3","-","-","2007","매봉길 24","-","중개거래","서울 성동구","24.01.26"
"17","서울특별시 성동구 하왕십리동","966-18","0966","0018","상리제나우스","12.8400","202312","28","12,800","-","4","-","-","2013","무학봉28길 5","-","중개거래","서울 성동구","24.01.24"
"18","서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","84.9800","202312","27","137,000","104","16","-","-","2016","금호로 173","-","직거래","-","23.12.28"
"19","서울특별시 성동구 옥수동","428","0428","0000","극동","142.2600","202312","26","127,000","4","2","-","-","1986","독서당로 191","-","직거래","-","24.01.12"
"20","서울특별시 성동구 옥수동","428","0428","0000","극동","57.7800","202312","26","94,500","8","12","-","-","1986","독서당로 191","-","중개거래","서울 성동구","24.03.21"
"21","서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.9000","202312","24","123,000","108","11","-","-","2007","금호로 15","-","중개거래","서울 성동구","24.03.15"
"22","서울특별시 성동구 금호동4가","340","0340","0000","서울숲푸르지오","59.9900","202312","23","119,000","110","7","-","-","2007","금호로 15","-","중개거래","경기 성남시수정구, 서울 성동구","24.03.29"
"23","서울특별시 성동구 행당동","375","0375","0000","행당두산위브","59.9900","202312","23","114,000","101","8","-","-","2009","행당로8길 8","-","중개거래","서울 성동구","24.02.22"
"24","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","114.6660","202312","23","163,000","109","3","-","-","1999","독서당로 218","-","중개거래","서울 성동구","24.03.07"
"25","서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","59.9900","202312","23","116,000","109","4","-","-","2012","금호로 107","-","중개거래","서울 성동구","24.03.22"
"26","서울특별시 성동구 하왕십리동","1066","1066","0000","텐즈힐(1단지)","84.9600","202312","23","141,500","108","18","-","-","2015","무학로 33","-","중개거래","서울 성동구","24.02.22"
"27","서울특별시 성동구 송정동","90","0090","0000","건영","59.8300","202312","23","67,500","102","2","-","-","2000","동일로 263","-","중개거래","경기 남양주시, 서울 성동구","24.03.20"
"28","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","59.7600","202312","23","88,000","101","16","-","-","1996","마장로 271","-","중개거래","서울 성동구","24.02.26"
"29","서울특별시 성동구 성수동1가","710","0710","0000","강변건영아파트","84.9520","202312","22","173,500","103","3","-","-","2002","왕십리로 36","-","중개거래","서울 성동구","24.03.05"
"30","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","113.5200","202312","22","220,000","108","13","-","-","2012","매봉길 15","-","중개거래","서울 성동구","24.02.02"
"31","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8700","202312","20","125,000","102","15","-","-","2009","동일로 237","-","중개거래","서울 성동구","24.03.14"
"32","서울특별시 성동구 성수동1가","718","0718","0000","트리마제","35.4442","202312","20","155,500","104","7","-","-","2017","왕십리로 16","-","중개거래","서울 강남구","24.05.03"
"33","서울특별시 성동구 성수동2가","843","0843","0000","서울숲힐스테이트","143.0000","202312","20","275,000","101","17","-","-","2009","성수일로4길 26","-","중개거래","서울 성동구","24.02.29"
"34","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8700","202312","20","125,000","-","15","-","-","2009","동일로 237","20240312","중개거래","서울 성동구","-"
"35","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","114.4600","202312","19","103,000","102","1","-","-","1996","무학로 50","-","중개거래","서울 마포구 서울 성동구","24.01.11"
"36","서울특별시 성동구 금호동1가","1500","1500","0000","금호삼성래미안","59.9500","202312","18","103,000","202","7","-","-","2001","독서당로 343","-","중개거래","서울 성동구","24.02.15"
"37","서울특별시 성동구 금호동3가","1331","1331","0000","두산","59.9700","202312","18","87,500","115","15","-","-","1994","동호로 100","-","중개거래","서울 성동구","24.02.20"
